1975,4171
1976,4293
1977,4637
1978,4825
1979,5202
1980,5405
1981,5728
1982,6133
1983,6344
1984,6854
1985,7536
1986,7755
1987,8480
1988,9414
1989,10043
1990,10560
1991,11919
1992,13486
1993,14686
1994,16641
1995,18043
1996,19946
1997,21977
1998,23642
1999,26050
2000,28489
2001,31293
2002,36140
2003,40099
2004,43559
2005,46614
2006,50465
2007,53345
2008,56759
2009,61586
2010,67573
2011,75009
2012,82474
2013,89430
2014,96325
2015,1.056e+05
2016,1.1462e+05
